model_size,checkpoint,topic,split,value,overall_accuracy,metric,total_pairs,file,ckpt_pos
pythia-6_9b,,irregular_plural_subject_verb_agreement,avg,93.30000000000001,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,irregular_plural_subject_verb_agreement,max,94.2,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,left_branch_island_echo,question,55.9,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,left_branch_island_echo,avg,55.9,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,left_branch_island_echo,max,55.9,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,left_branch_island_simple,question,89.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,left_branch_island_simple,avg,89.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,left_branch_island_simple,max,89.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,matrix_question_npi_licensor,present,59.9,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,matrix_question_npi_licensor,avg,59.9,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,matrix_question_npi_licensor,max,59.9,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,npi_present,1,66.5,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,npi_present,2,65.4,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,npi_present,avg,65.95,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,npi_present,max,66.5,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,only_npi_licensor,present,94.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,only_npi_licensor,avg,94.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,only_npi_licensor,max,94.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,only_npi,scope,76.8,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,only_npi,avg,76.8,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,only_npi,max,76.8,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,passive,1,91.1,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,passive,2,89.8,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,passive,avg,90.44999999999999,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,passive,max,91.1,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,principle_A_c,command,80.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,principle_A_c,avg,80.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,principle_A_c,max,80.6,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,principle_A_case,1,100.0,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,principle_A_case,2,96.2,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,principle_A_case,avg,98.1,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
pythia-6_9b,,principle_A_case,max,100.0,84.17462686567164,seq_logprob,67000,/home/nsrikant/BehaviorBoxNew/results/blimp_full/pythia-6_9b/blimp_full_summary_seq_logprob.json,0
